country_code,country,source1,source2,year,exports
AUL,Australia,2.0,2.0,1894,
AUL,Australia,2.0,2.0,1895,
AUL,Australia,2.0,2.0,1896,
AUL,Australia,2.0,2.0,1897,
AUL,Australia,2.0,2.0,1898,
AUL,Australia,2.0,2.0,1899,
AUL,Australia,2.0,2.0,1900,
AUL,Australia,2.0,2.0,1901,
AUL,Australia,2.0,2.0,1902,
AUL,Australia,2.0,2.0,1903,
AUL,Australia,2.0,2.0,1904,
AUL,Australia,2.0,2.0,1905,
AUL,Australia,2.0,2.0,1906,
AUL,Australia,2.0,2.0,1907,
AUL,Australia,2.0,2.0,1908,
AUL,Australia,2.0,2.0,1909,
AUL,Australia,2.0,2.0,1910,
AUL,Australia,2.0,2.0,1911,
AUL,Australia,2.0,2.0,1912,
AUL,Australia,2.0,2.0,1913,
AUL,Australia,2.0,2.0,1914,
AUL,Australia,2.0,2.0,1915,
AUL,Australia,2.0,2.0,1916,
AUL,Australia,2.0,2.0,1917,
AUL,Australia,2.0,2.0,1918,
AUL,Australia,2.0,2.0,1919,
AUL,Australia,2.0,2.0,1920,
AUL,Australia,2.0,2.0,1921,
AUL,Australia,2.0,2.0,1922,
AUL,Australia,2.0,2.0,1923,
AUL,Australia,2.0,2.0,1924,
AUL,Australia,2.0,2.0,1925,
AUL,Australia,2.0,2.0,1926,
AUL,Australia,2.0,2.0,1927,
AUL,Australia,2.0,2.0,1928,
AUL,Australia,2.0,2.0,1929,
AUL,Australia,2.0,2.0,1930,
AUL,Australia,2.0,2.0,1931,
AUL,Australia,2.0,2.0,1932,
AUL,Australia,2.0,2.0,1933,
AUL,Australia,2.0,2.0,1934,
AUL,Australia,2.0,2.0,1935,
AUL,Australia,2.0,2.0,1936,
AUL,Australia,2.0,2.0,1937,
AUL,Australia,2.0,2.0,1938,
AUL,Australia,2.0,2.0,1939,
AUL,Australia,2.0,2.0,1940,
AUL,Australia,2.0,2.0,1941,
AUL,Australia,2.0,2.0,1942,
AUL,Australia,2.0,2.0,1943,
AUL,Australia,2.0,2.0,1944,
AUL,Australia,2.0,2.0,1945,
AUL,Australia,2.0,2.0,1946,
AUL,Australia,2.0,2.0,1947,
AUL,Australia,2.0,2.0,1948,
AUL,Australia,2.0,2.0,1949,
AUL,Australia,2.0,2.0,1950,
AUL,Australia,2.0,2.0,1951,
AUL,Australia,2.0,2.0,1952,
AUL,Australia,2.0,2.0,1953,
AUL,Australia,2.0,2.0,1954,
AUL,Australia,2.0,2.0,1955,
AUL,Australia,2.0,2.0,1956,
AUL,Australia,2.0,2.0,1957,
AUL,Australia,2.0,2.0,1958,
AUL,Australia,2.0,2.0,1959,
AUL,Australia,2.0,2.0,1960,2022.9
AUL,Australia,2.0,2.0,1961,2338.5
AUL,Australia,2.0,2.0,1962,2322.9
AUL,Australia,2.0,2.0,1963,2774.3
AUL,Australia,2.0,2.0,1964,2977.3
AUL,Australia,2.0,2.0,1965,2927.5
AUL,Australia,2.0,2.0,1966,3169.5
AUL,Australia,2.0,2.0,1967,3493.4
AUL,Australia,2.0,2.0,1968,3521.0
AUL,Australia,2.0,2.0,1969,4221.82
AUL,Australia,2.0,2.0,1970,4781.36
AUL,Australia,2.0,2.0,1971,5229.16
AUL,Australia,2.0,2.0,1972,6513.33
AUL,Australia,2.0,2.0,1973,9581.94
AUL,Australia,2.0,2.0,1974,11092.56
AUL,Australia,2.0,2.0,1975,11906.33
AUL,Australia,2.0,2.0,1976,13162.03
AUL,Australia,2.0,2.0,1977,13371.98
AUL,Australia,2.0,2.0,1978,14432.21
AUL,Australia,2.0,2.0,1979,18684.36
AUL,Australia,2.0,2.0,1980,22055.64
AUL,Australia,2.0,2.0,1981,21818.01
AUL,Australia,2.0,2.0,1982,22092.27
AUL,Australia,2.0,2.0,1983,20665.75
AUL,Australia,2.0,2.0,1984,23892.38
AUL,Australia,2.0,2.0,1985,22625.81
AUL,Australia,2.0,2.0,1986,22552.59
AUL,Australia,2.0,2.0,1987,26550.38
AUL,Australia,2.0,2.0,1988,32764.43
AUL,Australia,2.0,2.0,1989,37208.0772871401
AUL,Australia,2.0,2.0,1990,38985.6340127781
AUL,Australia,2.0,2.0,1991,41910.1659986
AUL,Australia,2.0,2.0,1992,42491.8373722697
AUL,Australia,2.0,2.0,1993,42565.0496141733
AUL,Australia,2.0,2.0,1994,47484.4217710746
AUL,Australia,2.0,2.0,1995,53015.323185775305
AUL,Australia,2.0,2.0,1996,60310.0631894102
AUL,Australia,2.0,2.0,1997,63145.770394226
AUL,Australia,2.0,2.0,1998,56006.1316395667
AUL,Australia,2.0,2.0,1999,56244.2058129525
AUL,Australia,2.0,2.0,2000,63520.8153950513
AUL,Australia,2.0,2.0,2001,63411.5592141492
AUL,Australia,2.0,2.0,2002,65222.1834086538
AUL,Australia,2.0,2.0,2003,70904.7063254042
AUL,Australia,2.0,2.0,2004,86163.4250324494
AUL,Australia,2.0,2.0,2005,105059.108263991
AUL,Australia,2.0,2.0,2006,121847.335400904
AUL,Australia,2.0,2.0,2007,141483.539329472
AUL,Australia,2.0,2.0,2008,185608.42452672397
AUL,Australia,2.0,2.0,2009,153636.52320415698
AUL,Australia,2.0,2.0,2010,211647.219317405
AUL,Australia,2.0,2.0,2011,270805.266416437
AUL,Australia,2.0,2.0,2012,257496.341880909
AUL,Australia,2.0,2.0,2013,253547.126923993
AUL,Australia,2.0,2.0,2014,240639.209719757
AUS,Austria,1.0,1.0,1870,
AUS,Austria,1.0,1.0,1871,
AUS,Austria,1.0,1.0,1872,
AUS,Austria,1.0,1.0,1873,
AUS,Austria,1.0,1.0,1874,
AUS,Austria,1.0,1.0,1875,
AUS,Austria,1.0,1.0,1876,
AUS,Austria,1.0,1.0,1877,
AUS,Austria,1.0,1.0,1878,
AUS,Austria,1.0,1.0,1879,
AUS,Austria,1.0,1.0,1880,
AUS,Austria,1.0,1.0,1881,
AUS,Austria,1.0,1.0,1882,
AUS,Austria,1.0,1.0,1883,
AUS,Austria,1.0,1.0,1884,
AUS,Austria,1.0,1.0,1885,
AUS,Austria,1.0,1.0,1886,
AUS,Austria,1.0,1.0,1887,
AUS,Austria,1.0,1.0,1888,
AUS,Austria,1.0,1.0,1889,
AUS,Austria,1.0,1.0,1890,
AUS,Austria,1.0,1.0,1891,
AUS,Austria,1.0,1.0,1892,
AUS,Austria,1.0,1.0,1893,
AUS,Austria,1.0,1.0,1894,
AUS,Austria,1.0,1.0,1895,
AUS,Austria,1.0,1.0,1896,
AUS,Austria,1.0,1.0,1897,
AUS,Austria,1.0,1.0,1898,
AUS,Austria,1.0,1.0,1899,
AUS,Austria,1.0,1.0,1900,
AUS,Austria,1.0,1.0,1901,
AUS,Austria,1.0,1.0,1902,
AUS,Austria,1.0,1.0,1903,
AUS,Austria,1.0,1.0,1904,
AUS,Austria,1.0,1.0,1905,
AUS,Austria,1.0,1.0,1906,
AUS,Austria,1.0,1.0,1907,
AUS,Austria,1.0,1.0,1908,
AUS,Austria,1.0,1.0,1909,
AUS,Austria,1.0,1.0,1910,
AUS,Austria,1.0,1.0,1911,
AUS,Austria,1.0,1.0,1912,
AUS,Austria,1.0,1.0,1913,
AUS,Austria,1.0,1.0,1914,
AUS,Austria,1.0,1.0,1915,
AUS,Austria,1.0,1.0,1916,
