country_code,statisticalAreaCode,statisticalArea,year,share_industry
DEU,DE80,Mecklenburg-Vorpommern,1970,0.334
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1970,0.48
DEU,DE93,Statistische Region Lüneburg,1970,0.423
DEU,DE94,Statistische Region Weser-Ems,1970,0.415
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1970,0.553
DEU,DEA2,"Köln, Regierungsbezirk",1970,0.484
DEU,DEA3,"Münster, Regierungsbezirk",1970,0.528
DEU,DEA4,"Detmold, Regierungsbezirk",1970,0.539
DEU,DEA5,"Arnsberg, Regierungsbezirk",1970,0.58
DEU,DEB1,Statistische Region Koblenz,1970,0.439
DEU,DEB2,Statistische Region Trier,1970,0.343
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1970,0.507
DEU,DEC0,Saarland,1970,0.517
DEU,DED2,"Dresden, NUTS 2-Region",1970,0.571
DEU,DED4,"Chemnitz, NUTS 2-Region",1970,0.642
DEU,DED5,"Leipzig, NUTS 2-Region",1970,0.554
DEU,DEE0,Sachsen-Anhalt,1970,0.514
DEU,DEF0,Schleswig-Holstein,1970,0.372
DEU,DEG0,Thüringen,1970,0.546
GBR,UKI,London Counties,1970,0.35
GBR,UKH+UKJ,Rest of SouthEast,1970,0.401
GBR,UKK,SouthWest,1970,0.378
GBR,UKG,West Midlands,1970,0.569
GBR,UKF,East  Midlands,1970,0.516
GBR,UKC+UKD,North,1970,0.493
GBR,UKE,Yorks  & Humberside,1970,0.523
GBR,UKL,Wales,1970,0.465
GBR,UKM,Scotland,1970,0.436
GBR,UKN,Northern Ireland,1970,0.436
FRA,FR10,Île de France,1980,0.322
FRA,FR21,Champagne-Ardenne,1980,0.396
FRA,FR22,Picardie,1980,0.42
FRA,FR23,Haute-Normandie,1980,0.408
FRA,FR24,Centre,1980,0.379
FRA,FR25,Basse-Normandie,1980,0.328
FRA,FR26,Bourgogne,1980,0.37
FRA,FR30,Nord - Pas-de-Calais,1980,0.433
FRA,FR41,Lorraine,1980,0.357
FRA,FR42,Alsace,1980,0.421
FRA,FR43,Franche-Comté,1980,0.463
FRA,FR51,Pays de la Loire,1980,0.359
FRA,FR52,Bretagne,1980,0.286
FRA,FR53,Poitou-Charentes,1980,0.32
FRA,FR61,Aquitaine,1980,0.302
FRA,FR62,Midi-Pyrénées,1980,0.3
FRA,FR63,Limousin,1980,0.319
FRA,FR71,Rhône-Alpes,1980,0.412
FRA,FR72,Auvergne,1980,0.363
FRA,FR81,Languedoc-Roussillon,1980,0.265
FRA,FR82,Provence-Alpes-Côte d'Azur,1980,0.283
FRA,FR83,Corse,1980,0.235
DEU,DE11,"Stuttgart, Regierungsbezirk",1980,0.505
DEU,DE12,"Karlsruhe, Regierungsbezirk",1980,0.457
DEU,DE13,"Freiburg, Regierungsbezirk",1980,0.452
DEU,DE14,"Tübingen, Regierungsbezirk",1980,0.476
DEU,DE21,"Oberbayern, Regierungsbezirk",1980,0.355
DEU,DE22,"Niederbayern, Regierungsbezirk",1980,0.392
