statisticalAreaCode ,statisticalArea ,year ,population_raw,population
UKN0,Northern Ireland,1911,1250531,1250531
UKC1,Tees Valley and Durham,1921,529982,1257879.79562056
UKC2,Northumberland and Tyne and Wear,1921,1453024,1494800.35792488
UKD1,Cumbria,1921,466340,483403.792216521
UKD3,Greater Manchester,1921,2652944,2731753.03535837
UKD4,Lancashire,1921,893368,1156177.18805837
UKD6,Cheshire,1921,550008,480205.068565833
UKD7,Merseyside,1921,1498542,1681442.84609689
UKE1,East Yorkshire and Northern Lincolnshire,1921,166113,537518.427347847
UKE2,North Yorkshire,1921,391373,544829.199482489
UKE3,South Yorkshire,1921,1073193,1105200.79599043
UKE4,West Yorkshire,1921,1872355,1938803.05115013
UKF1,Derbyshire and Nottinghamshire,1921,942608,1296349.64792869
UKF2,Leicestershire  Rutland and Northamptonshire,1921,579014,749338.341001137
UKF3,Lincolnshire,1921,398805,415314.717395357
UKG1,Herefordshire  Worcestershire and Warwickshire,1921,634218,647924.086444008
UKG2,Shropshire and Staffordshire,1921,624039,877860.625959587
UKG3,West Midlands,1921,1924744,1988049.15245102
UKH1,East Anglia,1921,1153992,1299775.20421673
UKH2,Bedfordshire and Hertfordshire,1921,380515,524096.648099833
UKH3,Essex,1921,395001,500996.600636397
UKI3,Inner London - West,1921,1487000,1524322.91517081
UKI4,Inner London - East,1921,3325000,3398925.20890838
UKI5,Outer London - East and North East,1921,953000,963036.995334841
UKI6,Outer London - South,1921,588000,592985.07090558
UKI7,Outer London - West and North West,1921,867000,874811.023802603
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1921,784045,909382.506929276
UKJ2,Surrey  East and West Sussex,1921,951494,1113434.86187878
UKJ3,Hampshire and Isle of Wight,1921,486470,677876.926575129
UKJ4,Kent,1921,799342,994854.993080475
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1921,903715,1456117.82158211
UKK2,Dorset and Somerset,1921,468002,657104.477591585
UKK3,Cornwall and Isles of Scilly,1921,319562,335016.759048731
UKK4,Devon,1921,431669,738216.595048993
UKL1,West Wales and The Valleys,1921,1473095,1976835.48521556
UKL2,East Wales,1921,2220386,910700.010108434
UKM5,North Eastern Scotland,1921,451499,423683.482441478
UKM6,Highlands and Islands,1921,427685,671805.168836198
UKM7,Eastern Scotland,1921,2398410,2708646.2117026
UKM8,West Central Scotland,1921,1751606,1652929.07831221
UKM9,Southern Scotland,1921,857585.75,727094.142465138
UKN0,Northern Ireland,1921,1264000,1264000
UKC1,Tees Valley and Durham,1931,518675,1231043.32410061
UKC2,Northumberland and Tyne and Wear,1931,1463043,1505107.4173995
UKD1,Cumbria,1931,441841,458008.352182399
UKD3,Greater Manchester,1931,2706596,2786998.83544049
