statisticalAreaCode,statisticalArea,year,population
FRI34,Vienne,1936,306820.0
FRI23,Haute-Vienne,1936,333589.0
FRF34,Vosges,1936,376926.0
FRC14,Yonne,1936,271685.0
FRC24,Territoire de Belfort,1936,99497.0
FR104,Essonne,1936,286987.0
FR105,Hauts-de-Seine,1936,1019627.0
FR106,Seine-Saint-Denis,1936,776378.0
FR107,Val-de-Marne,1936,685204.0
FR108,Val-dOise,1936,350487.0
FRY10,Guadeloupe,1936,223675.0
FRY20,Martinique,1936,239130.0
FRY30,Guyane,1936,
FRY40,La Réunion,1936,
FRK21,Ain,1954,300998.0
FRE21,Aisne,1954,486680.0
FRK11,Allier,1954,372689.0
FRL01,Alpes-de-Haute-Provence,1954,84335.0
FRL02,Hautes-Alpes,1954,85067.0
FRL03,Alpes-Maritimes,1954,515484.0
FRK22,Ardèche,1954,249077.0
FRF21,Ardennes,1954,280490.0
FRJ21,Ariège,1954,140010.0
FRF22,Aube,1954,240797.0
FRJ11,Aude,1954,268254.0
FRJ22,Aveyron,1954,292727.0
FRL04,Bouches-du-Rhône,1954,1048762.0
FRD11,Calvados,1954,442107.0
FRK12,Cantal,1954,177065.0
FRI31,Charente,1954,313635.0
FRI32,Charente-Maritime,1954,447973.0
FRB01,Cher,1954,284376.0
FRI21,Corrèze,1954,242798.0
FRC11,Côte-dOr,1954,356839.0
FRH01,Côtes-dArmor,1954,503178.0
FRI22,Creuse,1954,172702.0
FRI11,Dordogne,1954,377870.0
FRC21,Doubs,1954,327268.0
FRK23,Drôme,1954,275280.0
FRD21,Eure,1954,332514.0
FRB02,Eure-et-Loir,1954,260870.0
FRH02,Finistère,1954,727847.0
FRM01,Corse-du-Sud,1954,75212.0
FRM02,Haute-Corse,1954,100606.0
FRJ12,Gard,1954,396742.0
FRJ23,Haute-Garonne,1954,525669.0
FRJ24,Gers,1954,185111.0
FRI12,Gironde,1954,896517.0
FRJ13,Hérault,1954,471429.0
FRH03,Ille-et-Vilaine,1954,586812.0
FRB03,Indre,1954,247436.0
FRB04,Indre-et-Loire,1954,364701.0
FRK24,Isère,1954,587975.0
FRC22,Jura,1954,220109.0
FRI13,Landes,1954,248945.0
FRB05,Loir-et-Cher,1954,239829.0
FRK25,Loire,1954,653829.0
FRK13,Haute-Loire,1954,215577.0
FRG01,Loire-Atlantique,1954,734468.0
FRB06,Loiret,1954,360523.0
FRJ25,Lot,1954,147754.0
FRI14,Lot-et-Garonne,1954,265549.0
FRJ14,Lozère,1954,82391.0
FRG02,Maine-et-Loire,1954,518153.0
FRD12,Manche,1954,447758.0
FRF23,Marne,1954,415027.0
FRF24,Haute-Marne,1954,197163.0
FRG03,Mayenne,1954,251522.0
FRF31,Meurthe-et-Moselle,1954,607192.0
FRF32,Meuse,1954,206938.0
FRH04,Morbihan,1954,520966.0
FRF33,Moselle,1954,769388.0
FRC12,Nièvre,1954,240078.0
FRE11,Nord,1954,2099430.0
FRE22,Oise,1954,435308.0
FRD13,Orne,1954,274848.0
FRE12,Pas-de-Calais,1954,1276842.0
FRK14,Puy-de-Dôme,1954,481380.0
FRI15,Pyrénées-Atlantiques,1954,420017.0
FRJ26,Hautes-Pyrénées,1954,203544.0
FRJ15,Pyrénées-Orientales,1954,230285.0
FRF11,Bas-Rhin,1954,707934.0
FRF12,Haut-Rhin,1954,509647.0
FRK26,Rhône,1954,1015866.0
FRC23,Haute-Saône,1954,209541.0
FRC13,Saône-et-Loire,1954,511182.0
FRG04,Sarthe,1954,420393.0
FRK27,Savoie,1954,252192.0
FRK28,Haute-Savoie,1954,293852.0
FR101,Paris,1954,2850189.0
FRD22,Seine-Maritime,1954,941684.0
FR102,Seine-et-Marne,1954,453438.0
FR103,Yvelines,1954,519176.0
FRI33,Deux-Sèvres,1954,312037.0
FRE23,Somme,1954,463519.0
FRJ27,Tarn,1954,308197.0
FRJ28,Tarn-et-Garonne,1954,172379.0
FRL05,Var,1954,413012.0
FRL06,Vaucluse,1954,268318.0
FRG05,Vendée,1954,395641.0
FRI34,Vienne,1954,319208.0
FRI23,Haute-Vienne,1954,324429.0
FRF34,Vosges,1954,372523.0
FRC14,Yonne,1954,266410.0
FRC24,Territoire de Belfort,1954,99427.0
FR104,Essonne,1954,351081.0
FR105,Hauts-de-Seine,1954,1118020.0
FR106,Seine-Saint-Denis,1954,845231.0
FR107,Val-de-Marne,1954,767435.0
FR108,Val-dOise,1954,412658.0
FRY10,Guadeloupe,1954,276545.0
FRY20,Martinique,1954,292062.0
FRY30,Guyane,1954,33505.0
FRY40,La Réunion,1954,349282.0
FRK21,Ain,1962,314457.0
FRE21,Aisne,1962,512532.0
FRK11,Allier,1962,380221.0
FRL01,Alpes-de-Haute-Provence,1962,91843.0
