key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
B90,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B91,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B92,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B93,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B94,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B95,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B96,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B97,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B98,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B99,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
BA1,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12
BA10,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA11,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA12,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Wiltshire CC,UKK15
BA13,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Wiltshire CC,UKK15
BA14,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Wiltshire CC,UKK15
BA15,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Wiltshire CC,UKK15
BA16,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA2,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12
BA20,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA21,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA22,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA3,GBR,South West (England),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12
BA4,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA5,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA6,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA7,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA8,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BA9,GBR,South West (England),UKK,Dorset and Somerset,UKK2,Somerset,UKK23
BB1,GBR,North West (England),UKD,Lancashire,UKD4,Blackburn with Darwen,UKD41
BB10,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB11,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB12,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB18,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB2,GBR,North West (England),UKD,Lancashire,UKD4,Blackburn with Darwen,UKD41
BB3,GBR,North West (England),UKD,Lancashire,UKD4,Blackburn with Darwen,UKD41
BB4,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
BB5,GBR,North West (England),UKD,Lancashire,UKD4,East Lancashire,UKD46
