statisticalAreaCode,statisticalArea,area,country_code
15900,Columbus,4559.2998,US
16000,Mansfield,2141.6201,US
16100,State College,3813.01,US
16200,Altoona,3319.3999,US
16300,Pittsburgh,6755.79,US
16400,Youngstown,2638.1001,US
16500,Erie,6717.8198,US
16600,Roanoke,3841.3398,US
16701,Elkins,2745.8,US
16702,Morgantown,2241.71,US
16703,Buckhannon,744.68005,US
16801,Beckley,2670.0,US
16802,Summersville,2066.9199,US
16901,Charleston,3002.8,US
16902,Spencer,764.44995,US
17000,Pikeville,2832.45,US
17100,Huntington,2707.5901,US
17200,Harrisonburg,2395.8201,US
17300,Staunton,3495.72,US
17400,Hagerstown,2441.21,US
17501,Cumberland,2479.73,US
17502,Winchester,1247.86,US
17600,Charlottesville,3325.71,US
17700,Syracuse,6775.6099,US
17800,Oneonta,3382.1099,US
17900,Union,2070.8799,US
18000,Buffalo,9091.7002,US
18100,Elmira,3790.1401,US
18201,Olean,4422.5,US
18202,St. Marys,1230.88,US
18300,Watertown,5968.9502,US
18400,Plattsburgh,4731.8398,US
18500,Amsterdam,2751.1899,US
18600,Albany,5962.6802,US
18700,Sunbury,1259.03,US
18800,Scranton,4199.6401,US
18900,Williamsport,3755.4199,US
19000,Allentown,1114.53,US
19100,Reading,2994.8201,US
19200,Harrisburg,3903.55,US
19300,Poughkeepsie,3821.76,US
19400,New York City,4041.1299,US
19500,Toms River,1581.24,US
19600,Newark,3615.1001,US
19700,Philadelphia,5927.8701,US
19800,Wilmington,911.42004,US
19901,Dover,3701.24,US
19902,Easton,2709.99,US
19903,Chincoteague,2105.5801,US
20001,Bangor,12280.188999999997,US
20002,Calais,3255.1399,US
20003,Presque Isle,6829.1802,US
20100,Portland,11751.39,US
20200,Burlington,3723.3,US
20301,Berlin,3883.6201,US
20302,Claremont,4666.1699,US
20401,Providence,2236.3801,US
20402,Nantucket,303.28,US
20403,Oak Bluffs,491.0,US
20500,Boston,6218.4702,US
20600,Manchester,5759.1802,US
20700,Keene,1527.39,US
20800,Springfield,1904.45,US
20901,Bridgeport,5543.6299,US
20902,Pittsfield,1624.0601,US
21001,Ashland,5614.4302,US
21002,Houghton,8631.2402,US
21003,Ironwood,6137.2002,US
21004,Rhinelander,3300.52,US
21101,Rice Lake,4024.6099,US
21102,Amery,1836.77,US
21201,Hutchinson,1751.2,US
21202,Redwood Falls,1868.55,US
21301,Mankato,2765.3599,US
21302,Owatonna,1381.14,US
21400,St. Cloud,2935.8101,US
21501,Minneapolis,5913.54,US
21502,Pine City,1968.0901,US
21600,Brainerd,8494.2305,US
21701,Rochester,3286.6799,US
21702,Austin,1434.3999,US
21801,Mason City,1951.6799,US
21802,Decorah,2640.01,US
21900,Marshalltown,2614.6799,US
22001,Waterloo,3400.6299,US
22002,Iowa Falls,1153.05,US
22100,Iowa City,2642.99,US
22200,Cedar Rapids,2607.27,US
22300,Ottumwa,4026.46,US
22400,Sheboygan,2764.9199,US
22500,Appleton,4169.4199,US
22601,Green Bay,5219.2002,US
22602,Shawano,2162.3601,US
22700,Wausau,7007.8301,US
22800,Eau Claire,5892.7202,US
22900,La Crosse,3578.0999,US
23000,Monroe,3001.97,US
23100,Madison,4704.79,US
23200,Dubuque,3266.1001,US
23301,Charleston,1986.25,US
23302,Douglas,2619.02,US
23400,Bloomington,2637.0,US
23500,Decatur,4039.76,US
23600,Burlington,3127.0,US
23700,Galesburg,2735.6699,US
23801,Davenport,2602.1699,US
23802,Clinton,1360.0701,US
23900,Peoria,4987.2998,US
24000,Kenosha,2849.1499,US
24100,Milwaukee,4812.4199,US
24200,Bourbonnais,1799.6,US
24300,Chicago,6077.6899,US
24400,Rockford,4656.6299,US
24500,Rolla,3324.8,US
24600,Farmington,3257.9199,US
24701,St. Louis,6195.3301,US
24702,Mexico,1238.8,US
